Ontology ID	parent class	label	Equivalence axiom	Subclass axiom	definition	definition source	created	term editor	English syn.	British english syn.	Italian syn.	French syn.	german syn.	spanish syn.	portuguese syn.	see also	curation status	comment	image	Curation notes							
	SC % SPLIT=|	AL rdfs:label@en	EC %	SC % SPLIT=|	AL IAO:0000115@en	A IAO:0000119 SPLIT=|	AT dc:date^^xsd:dateTime	A IAO:0000117 SPLIT=|	AL oboInOwl:hasExactSynonym@en SPLIT=|	AL oboInOwl:hasExactSynonym@en-BR SPLIT=|	AL oboInOwl:hasExactSynonym@it SPLIT=|	AL oboInOwl:hasExactSynonym@fr SPLIT=|	AL oboInOwl:hasExactSynonym@ge SPLIT=|	AL oboInOwl:hasExactSynonym@es SPLIT=|	AL oboInOwl:hasExactSynonym@pt SPLIT=|	A rdfs:seeAlso SPLIT=|	AI IAO:0000114	AL rdfs:comment@en	AI schema:image								
																											
FOODON:03412033	mushroom (fruitbody)	porcini mushroom	'fruitbody' and 'derives from' some 'Boletus edulis'		A fruitbody of a Boletus edulis fungus.	https://en.wikipedia.org/wiki/Boletus_edulis			boletus edulis | steinpilz | cep | penny bun | porcino | porcini | king boletus | yellow boletus																		
FOODON:03414539	mushroom (fruitbody)	summer bolete	'fruitbody' and 'derives from' some 'Boletus reticulatus'		A fruitbody of a boletus reticulatus fungus.	https://en.wikipedia.org/wiki/Boletus_reticulatus			boletus reticulatus | summer cep																		
FOODON:03414537	mushroom (fruitbody)	caesar's mushroom	'fruitbody' and 'derives from' some 'Amanita caesarea'		A fruitbody of an Amanita caesarea fungus.	https://en.wikipedia.org/wiki/Amanita_caesarea			amanita caesarea | caesar's amanita																		
FOODON:03414184	mushroom (fruitbody)	cauliflower fungus	'fruitbody' and 'derives from' some 'Sparassis crispa'		A fruitbody of a Sparassis crispa fungus.	https://en.wikipedia.org/wiki/Sparassis_crispa			sparassis crispa | hanabiratake																		
FOODON:00003529	mushroom (fruitbody)	chanterelle mushroom	'fruitbody' and 'derives from' some Cantharellus		A fruitbody of a genus of popular edible mushrooms, commonly known as chanterelles, a name which can also refer to the type species, Cantharellus cibarius.	https://en.wikipedia.org/wiki/Cantharellus			chanterelles																		
FOODON:03411569	chanterelle mushroom	golden chanterelle	'fruitbody' and 'derives from' some 'Cantharellus cibarius'		A fruitbody of a Cantharellus cibarius fungus.	https://en.wikipedia.org/wiki/Cantharellus_cibarius			cantharellus lutescens | autumn chanterelle | chanterelle jaune | craterellus lutescens | yellow foot | girolle																		
FOODON:03414543	chanterelle mushroom	trumpet chanterelle	'fruitbody' and 'derives from' some 'Craterellus tubaeformis'		A fruitbody of a Craterellus tubaeformis fungus.	https://en.wikipedia.org/wiki/Craterellus_tubaeformis			cantharellus tubaeformis | craterellus tubaeformis | yellowfoot | winter mushroom |  funnel chanterelle																		
FOODON:03414540	chanterelle mushroom	pale chanterelle	'fruitbody' and 'derives from' some 'Cantharellus pallens'		A fruitbody of a Cantharellus pallens fungus.	https://en.wikipedia.org/wiki/Cantharellus_pallens			cantharellus pallens																		
FOODON:03414178	mushroom (fruitbody)	collared stinkhorn	'fruitbody' and 'derives from' some 'Phallus duplicatus'		A fruitbody of a Phallus duplicatus fungus.	https://en.wikipedia.org/wiki/Phallus_duplicatus			phallus duplicatus																		
FOODON:03414182	mushroom (fruitbody)	coral tooth mushroom	'fruitbody' and 'derives from' some 'Hericium coralloides'		A fruitbody of a Hericium coralloides fungus.	https://en.wikipedia.org/wiki/Hericium_coralloides			coral hydnum | hericium | coralloides | coral tooth fungus																		
FOODON:03412507	mushroom (fruitbody)	enoki mushroom	'fruitbody' and 'derives from' some 'Flammulina velutipes'		A fruitbody of a Flammulina velutipes fungus.	https://en.wikipedia.org/wiki/Enokitake			enoki | enoki-take | flammulina velutipes | golden needle mushroom | velvet foot | velvet shank | velvet stem | winter mushroom | futu mushroom | futu | lily mushroom																		
FOODON:03412023	mushroom (fruitbody)	field mushroom	'fruitbody' and 'derives from' some 'Agaricus campestris'		A fruitbody of a Agaricus campestris fungus.	https://en.wikipedia.org/wiki/Agaricus_campestris			agaricus campestris | meadow mushroom																		
FOODON:03414536	mushroom (fruitbody)	forest lamb	'fruitbody' and 'derives from' some 'Albatrellus ovinus'		A fruitbody of an Albatrellus ovinus fungus.	https://en.wikipedia.org/wiki/Albatrellus_ovinus			albatrellus ovinus | sheep polypore																		
FOODON:03414180	mushroom (fruitbody)	green oyster	'fruitbody' and 'derives from' some 'Sarcomyxa serotina'		A fruitbody of a Sarcomyxa serotina fungus.	https://en.wikipedia.org/wiki/Panellus_serotinus			 panellus serotinus | late fall oyster | mukitake																		
FOODON:03414253	mushroom (fruitbody)	gypsy mushroom	'fruitbody' and 'derives from' some 'Cortinarius caperatus'		A fruitbody of a Cortinarius caperatus fungus.	https://en.wikipedia.org/wiki/Cortinarius_caperatus			cortinarius caperatus																		
FOODON:03414541	mushroom (fruitbody)	horn of plenty	'fruitbody' and 'derives from' some 'Craterellus cornucopioides'		A fruitbody of a Craterellus cornucopioides fungus.	https://en.wikipedia.org/wiki/Craterellus_cornucopioides			craterellus cornucopioides | black chanterelle | black trumpet | cantharellus cornucopioides																		
FOODON:03414535	mushroom (fruitbody)	horse mushroom	'fruitbody' and 'derives from' some 'Agaricus arvensis'		A fruitbody of a Agaricus arvensis fungus.	https://en.wikipedia.org/wiki/Agaricus_arvensis			agaricus arvensis																		
FOODON:03412022	mushroom (fruitbody)	inky cap mushroom	'fruitbody' and 'derives from' some 'Coprinopsis atramentaria'		A fruitbody of a Coprinopsis atramentaria fungus.	https://en.wikipedia.org/wiki/Coprinopsis_atramentaria			coprinopsis atramentaria | coprinus atramentarius | common inkcap  | Inky cap																		
