FOODID	ORIGFDNM	ENGFDNAM	LANGUALCODES
FR24231 	GOUTER FOURRE AU CHOCOLAT 	GOUTER FOURRE AU CHOCOLAT 	A0203 B1421 C0208 E0140 F0014 G0005 H0366 H0154 H0262 H0184 H0207 H0117 H0231 H0136 H0260 H0221 J0003 K0003 P0024
FR24235 	GOUTER FOURRE A LA VANILLE 	GOUTER FOURRE A LA VANILLE 	A0203 B1421 C0208 E0140 F0014 G0005 H0366 H0221 H0262 H0117 H0136 H0260 H0207 J0003 K0003 P0024
FR24240 	GOUTER FOURRE AUX FRUITS 	GOUTER FOURRE AUX FRUITS 	A0203 B1421 C0208 E0140 F0014 G0005 H0366 H0117 H0262 H0260 H0122 H0154 H0221 H0136 H0173 H0207 J0003 K0003 P0024
FR24300 	GAUFRETTE, SANS SPECIFICATION 	GAUFRETTE, SANS SPECIFICATION 	A0203 B1421 C0208 E0153 F0014 G0004 H0256 H0155 H0117 H0221 H0138 H0136 H0184 H0185 J0003 K0003 P0024
FR24310 	GAUFRETTE FOURREE, SANS SPECIFICATION 	GAUFRETTE FOURREE, SANS SPECIFICATION 	A0203 B1421 C0208 E0140 F0014 G0004 H0227 H0351 H0184 H0207 H0155 H0221 H0256 H0138 H0136 H0185 J0003 K0003 P0024
FR24311 	GAUFRETTE FOURREE AU CAFE 	GAUFRETTE FOURREE AU CAFE 	A0203 B1421 C0208 E0140 F0014 G0004 H0256 H0227 H0221 H0184 H0138 H0136 H0351 H0207 H0155 H0185 J0003 K0003 P0024
FR24312 	GAUFRETTE FOURREE AU CHOCOLAT 	GAUFRETTE FOURREE AU CHOCOLAT 	A0203 B1421 C0208 E0140 F0014 G0004 H0256 H0221 H0227 H0231 H0185 H0138 H0184 H0207 H0351 H0136 H0155 J0003 K0003 P0024
FR24313 	GAUFRETTE FOURREE A LA NOISETTE 	GAUFRETTE FOURREE A LA NOISETTE 	A0203 B1421 C0208 E0140 F0014 G0004 H0136 H0138 H0256 H0207 H0185 H0177 H0155 H0221 H0184 H0227 J0003 K0003 P0024
FR24315 	GAUFRETTE FOURREE A LA VANILLE 	GAUFRETTE FOURREE A LA VANILLE 	A0203 B1421 C0208 E0140 F0014 G0005 H0136 H0351 H0256 H0138 H0229 H0207 H0221 H0155 H0184 H0185 J0003 K0003 P0024
FR24320 	GAUFRETTE FOURREE AUX FRUITS 	GAUFRETTE FOURREE AUX FRUITS 	A0203 B1421 C0208 E0140 F0014 G0004 H0256 H0185 H0207 H0117 H0136 H0221 H0184 H0122 J0003 K0003 P0024
FR24355 	CIGARE COOKIE 	CIGARE COOKIE 	A0203 B1421 C0208 E0105 F0014 G0004 H0351 H0221 H0138 H0297 H0155 H0136 J0116 K0003 P0024
FR24356 	CIGARE FOURRE A LA NOISETTE 	CIGARE FOURRE A LA NOISETTE 	A0203 B1421 C0208 E0105 F0014 G0004 H0351 H0136 H0227 H0177 H0186 H0221 H0207 J0003 K0003 P0024
FR24360 	CIGARETTE COOKIE 	CIGARETTE COOKIE 	A0203 B1421 C0208 E0140 F0014 G0004 H0205 H0351 H0221 H0297 H0138 H0155 H0136 J0116 K0003 P0024
FR24361 	CIGARETTE COOKIE, PREPARATION ARTISANALE 	CIGARETTE COOKIE, PREPARATION ARTISANALE 	A0203 B1012 C0210 E0140 F0014 G0005 H0221 H0205 H0184 H0152 H0117 J0003 K0003 P0024
FR24365 	GAUFRETTE EVENTAIL 	GAUFRETTE EVENTAIL 	A0203 B1421 C0208 E0140 F0014 G0004 H0136 H0138 H0351 H0221 H0155 H0297 J0116 K0003 P0024
FR24366 	GAUFRETTE EVENTAIL, PREPARATION ARTISANALE 	GAUFRETTE EVENTAIL, PREPARATION ARTISANALE 	A0203 B1421 C0208 E0140 F0014 G0005 H0117 H0158 H0221 H0184 J0003 K0003 P0024
FR24370 	CREPE DENTELLE 	CREPE DENTELLE 	A0203 B1421 C0208 E0105 F0014 G0004 H0136 H0138 H0155 H0221 H0297 H0351 J0116 K0003 P0024
FR24375 	CREPE DE BRETAGNE 	CREPE DE BRETAGNE 	A0203 B1421 C0208 E0140 F0014 G0004 H0155 H0136 H0263 H0351 H0184 J0003 K0003 P0024
FR24376 	CREPE DE BRETAGNE PUR BEURRE 	CREPE DE BRETAGNE PUR BEURRE 	A0203 B1421 C0208 E0140 F0014 G0004 H0136 H0271 H0351 H0184 H0155 J0003 K0003 P0024
FR24400 	BISCUIT AUX OEUFS 	BISCUIT AUX OEUFS 	A0203 B1713 C0225 E0140 F0014 G0005 H0152 H0184 H0158 H0227 H0351 J0003 K0003 P0024
FR24410 	BOUDOIR 	BOUDOIR 	A0203 B1421 C0208 E0140 F0014 G0005 H0351 H0186 H0155 H0158 H0227 H0184 J0003 K0003 P0024
FR24411 	BOUDOIR, PREPARATION ARTISANALE 	BOUDOIR, PREPARATION ARTISANALE 	A0203 B1713 C0225 E0140 F0014 G0005 H0158 H0152 J0003 K0003 P0024
FR24420 	BISCUIT AUX OEUFS DE CHAMPAGNE 	BISCUIT AUX OEUFS DE CHAMPAGNE 	A0203 B1713 C0225 E0105 F0014 G0005 H0155 H0158 H0184 H0227 H0351 H0152 J0003 K0003 P0024
FR24421 	BISCUIT CHAMPAGNE, PREPARATION ARTISANALE 	BISCUIT CHAMPAGNE, PREPARATION ARTISANALE 	A0203 B1713 C0225 E0140 F0014 G0005 H0158 H0152 J0003 K0003 P0024
