FOODID	ORIGFDNM	ENGFDNAM	LANGUALCODES	REMARKS
F5743	APPLE JUICE, CONCENTRATED, SWEETENED	APPLE JUICE, CONCENTRATED, SWEETENED	A0127 B1245 C0140 E0139 F0001 G0003 H0136 H0138 J0001 K0003 M0001 N0001 P0024	
F11244	APPLE JUICE, DILUTED	APPLE JUICE, DILUTED	A0130 B1245 C0140 E0123 F0001 G0003 H0148 J0001 K0003 M0001 N0001 P0024	
F4795	APPLE JUICE, FROM CORES AND PEELS	APPLE JUICE, FROM CORES AND PEELS	A0127 B1245 C0110 E0123 F0001 G0003 H0001 J0001 K0003 M0001 N0001 P0024	
F1420	APPLE JUICE, RECONSTITUTED	APPLE JUICE, RECONSTITUTED	A0127 B1245 C0140 E0123 F0001 G0003 H0259 J0001 K0003 M0001 N0001 P0024	
F9516	APPLE PASTRY	APPLE PASTRY	A0202 B1245 C0229 E0147 F0014 G0005 H0151 H0152 H0207 H0221 J0001 K0003 M0001 N0001 P0024	
F11637	APPLE PEEL	APPLE PEEL	A0143 B1245 C0110 E0151 F0003 G0003 H0003 J0001 K0003 M0001 N0001 P0024	
F6761	APPLE PIE	APPLE PIE	A0253 B1245 C0229 E0105 F0014 G0005 H0152 H0207 J0001 K0003 M0001 N0001 P0024	
F5680	APPLE PIE FILLING	APPLE PIE FILLING	A0143 B1245 C0229 E0134 F0001 G0003 H0136 H0227 J0001 K0003 M0001 N0001 P0024	
F6776	APPLE PIE FILLING, ARTIFICIALLY SWEETENED	APPLE PIE FILLING, ARTIFICIALLY SWEETENED	A0143 B1245 C0229 E0134 F0001 G0003 H0108 J0001 K0003 M0001 N0001 P0024	
F16388	APPLE PIECES, RAW, PEELED, FOR COMMERCIAL BAKERY USE	APPLE PIECES, RAW, PEELED, FOR COMMERCIAL BAKERY USE	A0143 B1245 C0229 E0152 F0003 G0003 H0001 J0001 K0003 M0001 N0001 P0024	
F1951	APPLE POMACE	APPLE POMACE	A0143 B1245 C0110 E0134 F0001 G0001 H0003 J0001 K0003 M0001 N0001 P0024	
F7594	APPLE PRESERVE	APPLE PRESERVE	A0251 B1245 C0137 E0134 F0014 G0003 H0280 J0001 K0003 M0001 N0001 P0024	
F10805	APPLE SKIN, RAW	APPLE SKIN, RAW	A0143 B1245 C0110 E0151 F0003 G0003 H0001 J0001 K0003 M0001 N0001 P0024	
F2112	APPLE SODA	APPLE SODA	A0241 B1012 C0210 E0123 F0001 G0003 H0109 H0117 H0150 J0001 K0003 M0001 N0001 P0024	
F1134	APPLE WINE	APPLE WINE	A0205 B1245 C0140 E0123 F0003 G0003 H0232 J0104 K0003 M0203 N0001 P0024	
F7926	APPLE WINE VINEGAR	APPLE WINE VINEGAR	A0302 B1245 C0140 E0123 F0003 G0003 H0123 H0253 J0120 K0003 M0001 N0001 P0024	
F9510	APPLE WINE, CARBONATED	APPLE WINE, CARBONATED	A0205 B1245 C0140 E0123 F0003 G0003 H0232 H0246 J0104 K0003 M0001 N0001 P0024	
F4270	APPLE WINE, SPARKLING	APPLE WINE, SPARKLING	A0205 B1245 C0140 E0123 F0003 G0003 H0232 H0246 J0104 K0003 M0203 N0001 P0024	
F1924	APPLE, BAKED	APPLE, BAKED	A0143 B1245 C0139 E0150 F0014 G0005 H0151 H0158 J0001 K0003 M0001 N0001 P0024	
F1920	APPLE, CANNED	APPLE, CANNED	A0143 B1245 C0167 E0151 F0014 G0003 H0001 J0123 K0001 M0194 N0001 P0024	
F1956	APPLE, CARAMEL-COATED	APPLE, CARAMEL-COATED	A0143 B1245 C0140 E0150 F0003 G0003 H0158 H0353 J0001 K0003 M0001 N0001 P0024	
F1950	APPLE, DRIED	APPLE, DRIED	A0143 B1245 C0213 E0151 F0001 G0003 H0138 J0116 K0003 M0001 N0001 P0024	
F7630	APPLE, EVAPORATED	APPLE, EVAPORATED	A0143 B1245 C0213 E0152 F0003 G0003 H0138 J0116 K0003 M0001 N0001 P0024	
F5813	APPLE, FINELY CHOPPED	APPLE, FINELY CHOPPED	A0143 B1245 C0213 E0100 F0003 G0003 H0001 J0001 K0003 M0001 N0001 P0024	
F17119	APPLE, FRESH, PEELED	APPLE, FRESH, PEELED	A0143 B1245 C0138 E0151 F0003 G0003 H0003 J0001 K0003 M0001 N0001 P0024	
F1952	APPLE, FROZEN	APPLE, FROZEN	A0143 B1245 C0167 E0151 F0001 G0001 H0001 J0136 K0001 M0001 N0001 P0024	
F17121	APPLE, PEELED, FROZEN	APPLE, PEELED, FROZEN	A0143 B1245 C0138 E0151 F0003 G0003 H0001 J0136 K0003 M0001 N0001 P0024	
F17122	APPLE, PEELED, FROZEN, BLANCHED	APPLE, PEELED, FROZEN, BLANCHED	A0143 B1245 C0138 E0151 F0022 G0042 H0001 J0136 K0003 M0001 N0001 P0024	
F1710	APPLE, RAW	APPLE, RAW	A0143 B1245 C0140 E0150 F0003 G0003 H0001 J0001 K0003 M0001 N0001 P0024	
F5710	APPLE, SLICED, AND BLACKBERRY IN SYRUP	APPLE, SLICED, AND BLACKBERRY IN SYRUP	A0143 B1140 C0167 E0104 F0001 G0003 H0136 J0001 K0023 M0001 N0001 P0024	
F7595	APPLE, SLICED, CANNED	APPLE, SLICED, CANNED	A0143 B1245 C0213 E0137 F0014 G0003 H0001 J0123 K0003 M0194 N0001 P0024	
F6364	APPLE, SLICED, DEHYDRATED	APPLE, SLICED, DEHYDRATED	A0143 B1245 C0213 E0137 F0018 G0003 H0138 J0144 K0003 M0001 N0001 P0024	
F7627	APPLE, SLICED, FROZEN	APPLE, SLICED, FROZEN	A0143 B1245 C0167 E0137 F0001 G0003 H0001 J0136 K0003 M0001 N0001 P0024	
F4324	APPLE-FLAVORED BEVERAGE SYRUP	APPLE-FLAVORED BEVERAGE SYRUP	A0241 B1012 C0108 E0139 F0014 G0003 H0177 H0200 J0001 K0003 M0001 N0001 P0024 Z0091	
F1126	APPLESAUCE	APPLESAUCE	A0143 B1245 C0213 E0110 F0014 G0003 H0136 J0001 K0003 M0001 N0001 P0024	
F1923	APPLESAUCE COOKIE	APPLESAUCE COOKIE	A0203 B1312 C0208 E0140 F0014 G0003 H0147 J0001 K0003 M0001 N0001 P0024	
F7550	APPLESAUCE, CANNED	APPLESAUCE, CANNED	A0143 B1245 C0140 E0103 F0014 G0003 H0001 J0123 K0003 M0194 N0001 P0024	
F4278	APPLESAUCE, INSTANT	APPLESAUCE, INSTANT	A0143 B1245 C0140 E0136 F0014 G0003 H0138 H0169 J0001 K0003 M0001 N0001 P0024	
F9598	APPLE-STRAWBERRY SPREAD	APPLE-STRAWBERRY SPREAD	A0197 B1140 C0167 E0134 F0001 G0003 H0001 J0001 K0003 M0001 N0001 P0024	
F5877	APRICOT AND ALMOND JAM	APRICOT AND ALMOND JAM	A0251 B1529 C0139 E0134 F0014 G0003 H0158 H0177 H0391 J0001 K0003 M0001 N0001 P0024	
F3361	APRICOT CHUTNEY	APRICOT CHUTNEY	A0179 B1529 C0229 E0134 F0001 G0003 H0105 H0227 J0001 K0003 M0001 N0001 P0024	
F6742	APRICOT HALF, UNPEELED, ARTIFICIALLY SWEETENED	APRICOT HALF, UNPEELED, ARTIFICIALLY SWEETENED	A0143 B1529 C0139 E0116 F0001 G0003 H0108 J0001 K0001 M0001 N0001 P0024	
F5781	APRICOT JAM	APRICOT JAM	A0251 B1529 C0137 E0134 F0014 G0003 H0136 J0001 K0003 M0001 N0001 P0024	
F11886	APRICOT JUICE	APRICOT JUICE	A0127 B1529 C0140 E0130 F0001 G0003 H0001 J0001 K0003 M0001 N0001 P0024	
F1539	APRICOT KERNEL	APRICOT KERNEL	A0143 B1529 C0155 E0150 F0003 G0003 H0003 J0001 K0003 M0001 N0001 P0024	
F6399	APRICOT MARMALADE	APRICOT MARMALADE	A0251 B1529 C0137 E0134 F0014 G0003 H0136 J0001 K0003 M0001 N0001 P0024	
F1287	APRICOT NECTAR	APRICOT NECTAR	A0196 B1529 C0140 E0121 F0014 G0003 H0136 H0148 H0200 J0001 K0003 M0001 N0001 P0024	
F1538	APRICOT PASTE	APRICOT PASTE	A0143 B1529 C0213 E0119 F0001 G0003 H0001 J0001 K0003 M0001 N0001 P0024	
F6398	APRICOT PRESERVES	APRICOT PRESERVES	A0251 B1529 C0139 E0134 F0014 G0003 H0145 H0158 J0146 K0003 M0001 N0001 P0024	
F2208	APRICOT PULP	APRICOT PULP	A0143 B1529 C0213 E0103 F0001 G0003 H0001 J0001 K0003 M0001 N0001 P0024	
F1290	APRICOT PUREE	APRICOT PUREE	A0143 B1529 C0213 E0103 F0001 G0003 H0001 J0001 K0003 M0001 N0001 P0024	
F10055	APRICOT SEED	APRICOT SEED	A0260 B1529 C0155 E0150 F0003 G0003 H0003 J0001 K0003 M0001 N0001 P0024	
F6996	APRICOT SPREAD	APRICOT SPREAD	A0197 B1529 C0140 E0144 F0001 G0003 H0136 J0001 K0003 M0001 N0001 P0024	
F6542	APRICOT TARTLET	APRICOT TARTLET	A0253 B1529 C0229 E0105 F0001 G0003 H0152 H0158 H0207 J0100 K0003 M0001 N0001 P0024	
F7503	APRICOT, ARTIFICIALLY SWEETENED, CANNED	APRICOT, ARTIFICIALLY SWEETENED, CANNED	A0143 B1529 C0229 E0122 F0014 G0003 H0108 J0123 K0001 M0194 N0001 P0024	
F1200	APRICOT, CANNED	APRICOT, CANNED	A0143 B1529 C0167 E0001 F0014 G0003 H0001 J0123 K0001 M0194 N0001 P0024	
F6989	APRICOT, DEHYDROFROZEN	APRICOT, DEHYDROFROZEN	A0143 B1529 C0139 E0116 F0003 G0003 H0138 J0136 K0003 M0001 N0001 P0024	
F1756	APRICOT, DRIED	APRICOT, DRIED	A0143 B1529 C0139 E0150 F0001 G0003 H0138 J0116 K0003 M0001 N0001 P0024	
F10892	APRICOT, INFANT FOOD	APRICOT, INFANT FOOD	A0143 B1529 C0213 E0103 F0014 G0003 H0001 J0123 K0003 M0001 N0001 P0020	
F1701	APRICOT, RAW	APRICOT, RAW	A0143 B1529 C0140 E0150 F0003 G0003 H0001 J0001 K0003 M0001 N0001 P0024	
F11478	APRICOT, STRUCTURED	APRICOT, STRUCTURED	A0155 B1529 C0229 E0151 F0014 G0014 H0158 H0200 H0375 J0001 K0001 M0001 N0001 P0024	
F11967	APTAMIL (FORMERLY APTAMIL STAGE 1) IRON FORTIFIED INFANT FORMULA, POWDERED	APTAMIL (FORMERLY APTAMIL STAGE 1) IRON FORTIFIED INFANT FORMULA, POWDERED		
F11999	APTAMIL BASIC IRON FORTIFIED INFANT FORMULA, POWDERED	APTAMIL BASIC IRON FORTIFIED INFANT FORMULA, POWDERED		
F11998	APTAMIL IRON FORTIFIED INFANT FORMULA POWDERED	APTAMIL IRON FORTIFIED INFANT FORMULA POWDERED		
F16692	ARACHIS OIL, EDIBLE	ARACHIS OIL, EDIBLE	A0129 B1337 C0190 E0139 F0001 G0003 H0001 J0001 K0003 M0001 N0001 P0024	
F1344	ARAK	ARAK	A0240 B1347 C0001 E0130 F0001 G0003 H0232 H0270 J0104 K0003 M0001 N0001 P0024	
F8578	ARCTIC CRABMEAT	ARCTIC CRABMEAT	A0267 B1497 C0125 E0152 F0014 G0001 H0001 J0001 K0003 M0001 N0001 P0024	
F9126	ARCTIC PIKE, RAW	ARCTIC PIKE, RAW	A0267 B1143 C0175 E0151 F0003 G0003 H0003 J0001 K0003 M0001 N0001 P0024	
F9291	ARCTIC WHITE SALMON, RAW	ARCTIC WHITE SALMON, RAW	A0267 B1117 C0175 E0151 F0003 G0003 H0003 J0001 K0003 M0001 N0001 P0024 Z0060	
F9288	ARGENTINE FISH FILLET, RAW	ARGENTINE FISH FILLET, RAW	A0267 B1430 C0125 E0150 F0003 G0003 H0003 J0001 K0003 M0001 N0001 P0024	
F8910	ARGENTINE GROUPER, RAW	ARGENTINE GROUPER, RAW	A0267 B1496 C0175 E0151 F0003 G0003 H0003 J0001 K0003 M0001 N0001 P0024	
F9093	ARGENTINE HAKE, RAW	ARGENTINE HAKE, RAW	A0267 B2142 C0175 E0151 F0003 G0003 H0003 J0001 K0003 M0001 N0001 P0024	
F8911	ARGENTINE SEA BASS, RAW	ARGENTINE SEA BASS, RAW	A0267 B1762 C0175 E0151 F0003 G0003 H0003 J0001 K0003 M0001 N0001 P0024	
F6487	ARMADILLO MEAT, RAW	ARMADILLO MEAT, RAW	A0150 B1626 C0175 E0151 F0003 G0003 H0003 J0001 K0003 M0001 N0001 P0024	
F10238	ARMAGNAC	ARMAGNAC	A0200 B1329 C0140 E0123 F0014 G0003 H0232 H0270 H0294 J0104 K0003 M0001 N0001 P0024	
F17658	AROMATIC WINE	AROMATIC WINE	A0297 B1329 C0140 E0123 F0003 G0003 H0117 H0232 J0104 K0003 M0001 N0001 P0024	
F9272	ARROWTOOTH FLOUNDER, RAW	ARROWTOOTH FLOUNDER, RAW	A0267 B1866 C0175 E0151 F0003 G0003 H0003 J0001 K0003 M0001 N0001 P0024	
F1188	ARTICHOKE HEART	ARTICHOKE HEART	A0152 B1466 C0162 E0150 F0003 G0003 H0001 J0001 K0001 M0001 N0001 P0024	
F10965	ARTICHOKE HEART, FROZEN	ARTICHOKE HEART, FROZEN	A0152 B1466 C0162 E0150 F0003 G0003 H0001 J0136 K0001 M0001 N0001 P0024	
F1208	ARTICHOKE HEART, QUARTERED	ARTICHOKE HEART, QUARTERED	A0152 B1466 C0162 E0148 F0003 G0003 H0001 J0001 K0001 M0001 N0001 P0024	
F6086	ARTICHOKE IN LEMON WATER, CANNED	ARTICHOKE IN LEMON WATER, CANNED	A0152 B1466 C0144 E0150 F0014 G0003 H0001 J0123 K0017 M0194 N0001 P0024	
F4593	ARTICHOKE, CANNED	ARTICHOKE, CANNED	A0152 B1466 C0144 E0150 F0014 G0003 H0001 J0123 K0001 M0194 N0001 P0024	
F4771	ARTICHOKE, MARINATED	ARTICHOKE, MARINATED	A0152 B1466 C0144 E0151 F0001 G0003 H0227 H0396 J0001 K0001 M0001 N0001 P0024	
F6733	ARTICHOKE, MARINATED, QUARTERED	ARTICHOKE, MARINATED, QUARTERED	A0152 B1466 C0144 E0148 F0001 G0003 H0227 H0396 J0001 K0001 M0001 N0001 P0024	
F1773	ARTICHOKE, RAW	ARTICHOKE, RAW	A0152 B1466 C0144 E0150 F0003 G0003 H0003 J0001 K0003 M0001 N0001 P0024	
F17189	ARTIFICIAL FLAVORED DRINK STARTER AND BASE SUBSATNCES	ARTIFICIAL FLAVORED DRINK STARTER AND BASE SUBSATNCES	A0229 B0001 C0001 E0001 F0001 G0003 H0228 J0001 K0003 M0001 N0001 P0024 Z0088	
F17136	ARTIFICIAL SWEETENER, GRANULAR FORM	ARTIFICIAL SWEETENER, GRANULAR FORM	A0142 B0001 C0001 E0117 F0001 G0001 H0108 J0001 K0001 M0001 N0001 P0023 P0024	
F17138	ARTIFICIAL SWEETENER, LIQUID FORM	ARTIFICIAL SWEETENER, LIQUID FORM	A0142 B0001 C0001 E0130 F0001 G0001 H0108 J0001 K0001 M0001 N0001 P0023 P0024	
F17137	ARTIFICIAL SWEETENER, POWDER FORM	ARTIFICIAL SWEETENER, POWDER FORM	A0142 B0001 C0001 E0106 F0001 G0001 H0108 J0001 K0001 M0001 N0001 P0023 P0024	
F17135	ARTIFICIAL SWEETENER, TABLET FORM	ARTIFICIAL SWEETENER, TABLET FORM	A0142 B0001 C0001 E0147 F0001 G0001 H0108 J0001 K0001 M0001 N0001 P0023 P0024	
F7531	ASADERO CHEESE	ASADERO CHEESE	A0281 B1201 C0245 E0151 F0001 G0003 H0107 J0001 K0003 M0001 N0001 P0024	
F1736	ASIAGO CHEESE	ASIAGO CHEESE	A0168 B1201 C0245 E0151 F0018 G0003 H0326 J0001 K0003 M0001 N0001 P0024	
F15893	ASPARAGUS PACKED IN GLASS CONTAINERS OR FULLY LINED CANS	ASPARAGUS PACKED IN GLASS CONTAINERS OR FULLY LINED CANS	A0152 B1415 C0186 E0151 F0014 G0003 H0001 J0123 K0001 M0194 N0001 P0024	
F6318	ASPARAGUS PULP	ASPARAGUS PULP	A0152 B1415 C0186 E0134 F0001 G0003 H0001 J0001 K0003 M0001 N0001 P0024	
F4960	ASPARAGUS SOUP	ASPARAGUS SOUP	A0243 B1415 C0186 E0149 F0014 G0001 H0227 J0001 K0003 M0001 N0001 P0024	
F1774	ASPARAGUS SPEAR, RAW	ASPARAGUS SPEAR, RAW	A0152 B1415 C0186 E0150 F0003 G0003 H0003 J0001 K0003 M0001 N0001 P0024	
F1371	ASPARAGUS, CANNED	ASPARAGUS, CANNED	A0152 B1415 C0186 E0150 F0014 G0003 H0001 J0123 K0001 M0194 N0001 P0024	
F16391	ASPARAGUS, DRIED	ASPARAGUS, DRIED	A0152 B1415 C0186 E0151 F0001 G0003 H0138 J0116 K0003 M0001 N0001 P0024	
F1366	ASPARAGUS, FROZEN	ASPARAGUS, FROZEN	A0152 B1415 C0186 E0150 F0018 G0003 H0003 J0136 K0003 M0001 N0001 P0024	
F11349	ASPARAGUS, RAW	ASPARAGUS, RAW	A0152 B1415 C0186 E0150 F0003 G0003 H0003 J0001 K0003 M0001 N0001 P0024	
F15697	ASPARAGUS, WHITE, CANNED	ASPARAGUS, WHITE, CANNED	A0152 B1603 C0186 E0151 F0014 G0003 H0001 J0123 K0001 M0194 N0001 P0024	
F1142	ASPIC	ASPIC	A0004 B0001 C0170 E0144 F0014 G0003 H0165 H0200 H0227 J0001 K0003 M0001 N0001 P0024	
F5717	ASPIC JELLY POWDER	ASPIC JELLY POWDER	A0129 B0001 C0170 E0106 F0001 G0003 H0138 H0165 H0227 J0116 K0003 M0001 N0001 P0024	
F8023	ATLANTIC COD, RAW	ATLANTIC COD, RAW	A0267 B1842 C0175 E0151 F0003 G0003 H0003 J0001 K0003 M0001 N0001 P0024	
F9166	ATLANTIC CROAKER, RAW	ATLANTIC CROAKER, RAW	A0267 B1795 C0175 E0151 F0003 G0003 H0003 J0001 K0003 M0001 N0001 P0024	
F9083	ATLANTIC HALIBUT, RAW	ATLANTIC HALIBUT, RAW	A0267 B1877 C0175 E0151 F0003 G0003 H0003 J0001 K0003 M0001 N0001 P0024	
F8102	ATLANTIC HERRING, RAW	ATLANTIC HERRING, RAW	A0267 B1586 C0175 E0151 F0003 G0003 H0003 J0001 K0003 M0001 N0001 P0024	
F8256	ATLANTIC MACKEREL, RAW	ATLANTIC MACKEREL, RAW	A0267 B1790 C0175 E0151 F0003 G0003 H0003 J0001 K0003 M0001 N0001 P0024	
F8428	ATLANTIC MENHADEN, RAW	ATLANTIC MENHADEN, RAW	A0267 B1849 C0175 E0151 F0003 G0003 H0003 J0001 K0003 M0001 N0001 P0024	
F9227	ATLANTIC POLLOCK, RAW	ATLANTIC POLLOCK, RAW	A0267 B1440 C0175 E0151 F0003 G0003 H0003 J0001 K0003 M0001 N0001 P0024	
F8613	ATLANTIC QUEEN CRAB, RAW	ATLANTIC QUEEN CRAB, RAW	A0267 B1335 C0173 E0150 F0003 G0003 H0003 J0001 K0003 M0001 N0001 P0024	
F8430	ATLANTIC ROUND HERRING, RAW	ATLANTIC ROUND HERRING, RAW	A0267 B1386 C0175 E0151 F0003 G0003 H0003 J0001 K0003 M0001 N0001 P0024	
F7996	ATLANTIC SALMON, RAW	ATLANTIC SALMON, RAW	A0267 B1587 C0175 E0151 F0003 G0003 H0003 J0001 K0003 M0001 N0001 P0024	
F8095	ATLANTIC SARDINE, RAW	ATLANTIC SARDINE, RAW	A0267 B1586 C0175 E0151 F0003 G0003 H0003 J0001 K0003 M0001 N0001 P0024	
F9425	ATLANTIC SAURY, RAW	ATLANTIC SAURY, RAW	A0267 B1889 C0175 E0151 F0003 G0003 H0003 J0001 K0003 M0001 N0001 P0024	
F8723	ATLANTIC SKIPJACK, RAW	ATLANTIC SKIPJACK, RAW	A0267 B1376 C0175 E0151 F0003 G0003 H0003 J0001 K0003 M0001 N0001 P0024 Z0061	
F8288	ATLANTIC SOLE, RAW	ATLANTIC SOLE, RAW	A0267 B1032 C0175 E0151 F0003 G0003 H0003 J0001 K0003 M0001 N0001 P0024	
F9382	ATLANTIC STEELHEAD, RAW	ATLANTIC STEELHEAD, RAW	A0267 B1109 C0175 E0151 F0003 G0003 H0003 J0001 K0003 M0001 N0001 P0024	
F8431	ATLANTIC THREAD HERRING, RAW	ATLANTIC THREAD HERRING, RAW	A0267 B1851 C0175 E0151 F0003 G0003 H0003 J0001 K0003 M0001 N0001 P0024	
F9322	ATLANTIC WOLFFISH, RAW	ATLANTIC WOLFFISH, RAW	A0267 B1817 C0175 E0151 F0003 G0003 H0003 J0001 K0003 M0001 N0001 P0024	
F9058	AUSTRALIAN COD, RAW	AUSTRALIAN COD, RAW	A0267 B2290 C0175 E0151 F0003 G0003 H0003 J0001 K0003 M0001 N0001 P0024	
F8232	AUSTRALIAN HERRING, RAW	AUSTRALIAN HERRING, RAW	A0267 B1941 C0175 E0151 F0003 G0003 H0003 J0001 K0003 M0001 N0001 P0024	
F9152	AUSTRALIAN SEA BREAM, RAW	AUSTRALIAN SEA BREAM, RAW	A0267 B1234 C0175 E0151 F0003 G0003 H0003 J0001 K0003 M0001 N0001 P0024	
F11438	AVOCADO OIL	AVOCADO OIL	A0129 B1470 C0190 E0139 F0014 G0003 H0001 J0001 K0003 M0001 N0001 P0024	
F15439	AVOCADO PULP, FROZEN	AVOCADO PULP, FROZEN	A0143 B1470 C0229 E0151 F0001 G0003 H0001 J0136 K0003 M0001 N0001 P0024	
F15440	AVOCADO PUREE, FROZEN	AVOCADO PUREE, FROZEN	A0152 B1470 C0229 E0135 F0001 G0003 H0001 J0136 K0003 M0001 N0001 P0024	
F15441	AVOCADO SPREAD, FROZEN	AVOCADO SPREAD, FROZEN	A0152 B1470 C0229 E0144 F0001 G0003 H0001 J0136 K0003 M0001 N0001 P0024	
F5236	AVOCADO, RAW	AVOCADO, RAW	A0143 B1470 C0140 E0150 F0003 G0003 H0001 J0001 K0003 M0001 N0001 P0024	
F15371	AWPO	AWPO	A0267 B1222 C0175 E0151 F0001 G0001 H0138 H0151 J0116 K0001 M0001 N0001 P0024	
F4835	AZTEC MARIGOLD FLOWER, DEHYDRATED	AZTEC MARIGOLD FLOWER, DEHYDRATED	A0166 B2339 C0237 E0106 F0003 G0003 H0138 J0116 K0003 M0001 N0001 P0015	
F16688	BABASSU OIL, EDIBLE	BABASSU OIL, EDIBLE	A0129 B1707 C0190 E0139 F0001 G0003 H0001 J0001 K0003 M0001 N0001 P0024	
F16237	BABY FOOD CONTAINING FAT	BABY FOOD CONTAINING FAT	A0001 B0001 C0001 E0103 E0144 F0014 G0003 H0221 J0123 K0003 M0001 N0001 P0020	
F9714	BABY GINGER, THERMALLY PROCESSED	BABY GINGER, THERMALLY PROCESSED	A0113 B1265 C0238 E0150 F0014 G0003 H0001 J0129 K0001 M0001 N0001 P0024	
F8393	BACALAO, RAW	BACALAO, RAW	A0267 B1222 C0175 E0151 F0003 G0003 H0003 J0001 K0003 M0001 N0001 P0024	
F10748	BACON FAT, COOKED	BACON FAT, COOKED	A0129 B1136 C0190 E0001 F0014 G0001 H0001 J0003 K0003 M0001 N0001 P0024	
F17325	BACON MADE WITH DRY CURING MATERIAL	BACON MADE WITH DRY CURING MATERIAL	A0279 B1136 C0125 E0151 F0001 G0003 H0118 H0253 J0001 K0003 M0001 N0001 P0024 Z0063	
F1961	BACON PUFF	BACON PUFF	A0228 B1312 C0208 E0147 F0014 G0003 H0191 H0221 H0277 J0001 K0003 M0001 N0001 P0024	
F11588	BACON, BAKED	BACON, BAKED	A0279 B1136 C0125 E0152 F0014 G0005 H0172 H0253 J0001 K0003 M0001 N0001 P0024 Z0063	
F1960	BACON, CANNED	BACON, CANNED	A0279 B1136 C0268 E0151 F0014 G0003 H0172 H0253 J0123 K0003 M0194 N0001 P0024 Z0063	
F17711	BACON, DRY-CURED	BACON, DRY-CURED		
F10564	BACON, FRIED	BACON, FRIED	A0150 B1136 C0268 E0152 F0014 G0030 H0172 H0253 J0001 K0003 M0001 N0001 P0024 Z0063	
F17333	BACON, IMMERSION, CURED	BACON, IMMERSION, CURED	A0279 B1136 C0125 E0151 F0001 G0003 H0118 H0253 J0001 K0003 M0001 N0001 P0024 Z0063	
F17331	BACON, NOT FURTHER SPECIFIED	BACON, NOT FURTHER SPECIFIED	A0279 B1136 C0125 E0151 F0001 G0003 H0118 H0253 J0001 K0003 M0001 N0001 P0024	
F15280	BACON, PUMP-CURED	BACON, PUMP-CURED	A0279 B1136 C0125 E0151 F0001 G0003 H0118 H0253 H0275 J0001 K0003 M0001 N0001 P0024 Z0063	
F1955	BACON, RAW	BACON, RAW	A0279 B1136 C0125 E0151 F0018 G0003 H0118 H0253 J0106 K0003 M0001 N0001 P0024 Z0063	
F15865	BACON, SIDE	BACON, SIDE	A0279 B1136 C0125 E0151 F0001 G0003 H0118 H0253 J0001 K0003 M0001 N0001 P0024 Z0046	
F9992	BACON, SMOKED	BACON, SMOKED	A0279 B1136 C0125 E0151 F0018 G0003 H0118 H0253 J0106 K0003 M0001 N0001 P0024 Z0063	
F1963	BACON-FLAVORED SEASONING	BACON-FLAVORED SEASONING	A0133 B0001 C0001 E0001 F0001 G0003 H0117 J0001 K0003 M0001 N0001 P0024	
F17572	BAGACEIRA VELHA	BAGACEIRA VELHA	A0200 B1329 C0110 E0123 F0001 G0003 H0232 H0270 J0104 K0003 M0001 N0001 P0024	
F9554	BAGEL	BAGEL	A0178 B1312 C0208 E0105 F0014 G0005 H0256 J0001 K0003 M0001 N0001 P0024	
F9865	BAJRA MILLET MEAL	BAJRA MILLET MEAL	A0149 B1285 C0133 E0117 F0001 G0003 H0138 J0116 K0003 M0001 N0001 P0015	
F1946	BAKED BEANS	BAKED BEANS	A0152 B1061 C0133 E0150 F0014 G0001 H0136 H0212 H0227 J0001 K0003 M0001 N0001 P0024	
F11631	BAKED GOOD	BAKED GOOD	A0191 B0001 C0001 E0001 F0014 G0005 H0001 J0001 K0001 M0001 N0001 P0024	
F15932	BAKED GOOD, FINE	BAKED GOOD, FINE	A0191 B0001 C0001 E0151 F0014 G0003 H0152 J0001 K0003 M0001 N0001 P0024	
F16000	BAKED GOOD, FINE, COATED WITH CHOCOLATE, SMALL PRODUCTS	BAKED GOOD, FINE, COATED WITH CHOCOLATE, SMALL PRODUCTS	A0191 B0001 C0001 E0151 F0014 G0003 H0119 H0152 H0253 H0355 J0001 K0003 M0001 N0001 P0024	
F16032	BAKED GOOD, FINE, WITH A WATER ACTIVITY OF MORE THAN .65	BAKED GOOD, FINE, WITH A WATER ACTIVITY OF MORE THAN .65	A0191 B0001 C0001 E0147 F0014 G0001 H0152 J0001 K0001 M0001 N0001 P0024	
F17521	BAKED GOODS, PRE-PACKED, PARTIALLY BAKED	BAKED GOODS, PRE-PACKED, PARTIALLY BAKED	A0191 B0001 C0001 E0151 F0018 H0152 J0001 K0001 M0001 N0001 P0024	
F3692	BAKER'S CHEESE	BAKER'S CHEESE	A0185 B1201 C0245 E0144 F0003 G0003 H0101 J0001 K0003 M0001 N0001 P0024	
F5855	BAKERS JELLY	BAKERS JELLY	A0118 B1012 C0210 E0119 F0014 G0003 H0117 H0145 H0150 H0154 H0200 J0001 K0003 M0001 N0001 P0024	
F10334	BAKERS YEAST	BAKERS YEAST	A0004 B1345 C0247 E0001 F0003 G0003 H0003 J0001 K0003 M0001 N0001 P0024	
F16465	BAKERY GOODS, LYE TREATED	BAKERY GOODS, LYE TREATED	A0191 B1324 C0155 E0151 F0014 G0003 H0206 J0001 K0003 M0001 N0001 P0024	
F10635	BAKERY PRODUCT	BAKERY PRODUCT	A0191 B1312 C0208 E0147 F0014 G0005 H0227 J0001 K0003 M0001 N0001 P0024	
