FOODID	ORIGFDNM	ENGFDNAM	LANGUALCODES	REMARKS
F10788	APPLE	APPLE	A0143 B1245 C0167 E0001 F0001 G0003 H0001 J0001 K0003 M0001 N0001 P0024	
F4362	APPLE AND APRICOT, DRIED	APPLE AND APRICOT, DRIED	A0143 B1245 C0213 E0151 F0001 G0003 H0138 H0147 J0116 K0003 M0001 N0001 P0024	
F6162	APPLE AND BLACK RASPBERRY JUICE DRINK	APPLE AND BLACK RASPBERRY JUICE DRINK	A0130 B1140 C0140 E0123 F0001 G0003 H0136 H0148 J0001 K0003 M0001 N0001 P0024	
F6165	APPLE AND CARROT JUICE	APPLE AND CARROT JUICE	A0257 B1245 C0140 E0123 F0001 G0003 H0212 J0001 K0003 M0001 N0001 P0024	
F6169	APPLE AND CHERRY JUICE	APPLE AND CHERRY JUICE	A0127 B1245 C0140 E0123 F0001 G0003 H0147 J0001 K0003 M0001 N0001 P0024	
F10704	APPLE AND GRAPE DRINK	APPLE AND GRAPE DRINK	A0112 B1012 C0108 E0123 F0014 G0003 H0147 H0150 H0200 H0227 J0001 K0003 M0001 N0001 P0024	
F5765	APPLE AND GRAPE JUICE	APPLE AND GRAPE JUICE	A0127 B1245 C0140 E0123 F0001 G0003 H0147 J0001 K0003 M0001 N0001 P0024	
F5891	APPLE AND HONEY JELLY	APPLE AND HONEY JELLY	A0209 B1012 C0188 E0119 F0014 G0003 H0145 H0147 J0001 K0003 M0001 N0001 P0024	
F9597	APPLE APRICOT SPREAD	APPLE APRICOT SPREAD	A0197 B1140 C0229 E0134 F0001 G0003 H0001 J0001 K0003 M0001 N0001 P0024	
F4326	APPLE BEVERAGE SYRUP	APPLE BEVERAGE SYRUP	A0241 B1012 C0108 E0139 F0001 G0003 H0147 J0001 K0003 M0001 N0001 P0024 Z0091	
F4325	APPLE BEVERAGE SYRUP, VERMONT RED APPLE VARIETY	APPLE BEVERAGE SYRUP, VERMONT RED APPLE VARIETY	A0241 B1012 C0108 E0139 F0001 G0003 H0147 J0001 K0003 M0001 N0001 P0024 Z0091	
F10237	APPLE BRANDY	APPLE BRANDY	A0200 B1245 C0140 E0123 F0014 G0003 H0232 H0270 H0294 J0104 K0003 P0024	
F2348	APPLE BREAD	APPLE BREAD	A0178 B1312 C0208 E0151 F0014 G0003 H0147 J0001 K0003 M0001 N0001 P0024	
F1772	APPLE BUTTER	APPLE BUTTER	A0184 B1245 C0140 E0119 F0014 G0003 H0158 H0227 J0001 K0003 M0001 N0001 P0024	
F1129	APPLE CIDER	APPLE CIDER	A0127 B1245 C0140 E0109 F0001 G0003 H0001 J0001 K0003 M0001 N0001 P0024	
F3056	APPLE CIDER, CHERRY-FLAVORED	APPLE CIDER, CHERRY-FLAVORED	A0127 B1245 C0140 E0109 F0001 G0003 H0117 H0136 J0001 K0003 M0001 N0001 P0024	
F3062	APPLE CIDER, FERMENTED	APPLE CIDER, FERMENTED	A0298 B1245 C0140 E0109 F0003 G0003 H0158 H0253 H0256 J0001 K0003 M0001 N0001 P0024	
F3058	APPLE CIDER, RECONSTITUTED	APPLE CIDER, RECONSTITUTED	A0127 B1245 C0140 E0109 F0001 G0003 H0259 J0001 K0003 M0001 N0001 P0024	
F10890	APPLE COMPOTE	APPLE COMPOTE	A0143 B1245 C0167 E0110 F0014 G0001 H0202 J0001 K0003 M0001 N0001 P0024	
F1922	APPLE COOKIE	APPLE COOKIE	A0203 B1312 C0208 E0140 F0014 G0003 H0147 H0158 J0001 K0003 M0001 N0001 P0024	
F3065	APPLE DRINK MIX, ARTIFICIALLY FLAVORED	APPLE DRINK MIX, ARTIFICIALLY FLAVORED	A0241 B0001 C0001 E0001 F0001 G0003 H0200 H0202 H0228 J0001 K0003 M0001 N0001 P0024 Z0088	
F5446	APPLE DRINK, ARTIFICIALLY FLAVORED, FROZEN CONCENTRATE	APPLE DRINK, ARTIFICIALLY FLAVORED, FROZEN CONCENTRATE	A0104 B1012 C0108 E0139 F0001 G0003 H0138 H0200 H0395 J0136 K0003 M0001 N0001 P0024	
F2423	APPLE DRINK, ARTIFICIALLY FLAVORED, VITAMIN-FORTIFIED, FROZEN CONCENTRATE	APPLE DRINK, ARTIFICIALLY FLAVORED, VITAMIN-FORTIFIED, FROZEN CONCENTRATE	A0104 B1012 C0108 E0139 F0001 G0003 H0138 H0163 H0194 H0200 H0227 J0136 K0003 M0001 N0001 P0024	
F11150	APPLE DRINK, CANNED	APPLE DRINK, CANNED	A0112 B1012 C0108 E0123 F0014 G0003 H0148 H0150 H0200 H0227 J0123 K0003 M0194 N0001 P0024	
F1131	APPLE FLAVORING	APPLE FLAVORING	A0215 B1245 C0228 E0001 F0001 G0003 H0001 J0001 K0003 M0001 N0001 P0024	
F6384	APPLE JAM	APPLE JAM	A0251 B1245 C0137 E0134 F0014 G0003 H0136 J0001 K0003 M0001 N0001 P0024	
F5889	APPLE JELLY	APPLE JELLY	A0209 B1012 C0108 E0119 F0014 G0003 H0145 H0147 J0001 K0003 M0001 N0001 P0024	
F5892	APPLE JELLY MADE WITH SUGAR AND HONEY	APPLE JELLY MADE WITH SUGAR AND HONEY	A0209 B1012 C0108 E0119 F0014 G0003 H0145 H0147 J0001 K0003 M0001 N0001 P0024	
F5876	APPLE JELLY, MINT-FLAVORED	APPLE JELLY, MINT-FLAVORED	A0179 B1012 C0210 E0119 F0014 G0003 H0117 H0145 H0147 H0200 J0001 K0003 M0001 N0001 P0024	
