FOODID	ORIGFDNM	ENGFDNAM	LANGUALCODES
03581 	CABBAGE, KOREAN, FRESH 	CABBAGE, KOREAN, FRESH 	A0152 B1406 C0151 E0150 F0003 G0003 H0003 J0001 K0003 M0001 N0001 P0024
03587 	BAMBOO SHOOTS, CANNED 	BAMBOO SHOOTS, CANNED 	A0152 B1271 C0186 E0151 F0014 G0003 H0001 J0123 K0003 M0194 N0001 P0024
03662 	ARTICHOKES, CANNED WITHOUT SAUCE 	ARTICHOKES, CANNED WITHOUT SAUCE 	A0152 B1466 C0144 E0150 F0014 G0003 H0001 J0123 K0003 M0194 N0001 P0024
03672 	ASPARAGUS, CANNED WITHOUT SAUCE 	ASPARAGUS, CANNED WITHOUT SAUCE 	A0152 B1415 C0186 E0150 F0014 G0003 H0001 J0123 K0003 M0194 N0001 P0024
03677 	ASPARAGUS, CANNED 	ASPARAGUS, CANNED 	A0152 B1415 C0186 E0150 F0014 G0003 H0001 J0123 K0001 M0194 N0001 P0024
03720 	LETTUCE, FRESH 	LETTUCE, FRESH 	A0152 B1390 C0151 E0150 F0003 G0003 H0003 J0001 K0003 M0001 N0001 P0024
03725 	LETTUCE, ICEBERG 	LETTUCE, ICEBERG 	A0152 B1390 C0151 E0150 F0003 G0003 H0003 J0001 K0003 M0001 N0001 P0024
03730 	SPINACH, FRESH 	SPINACH, FRESH 	A0152 B1420 C0200 E0150 F0003 G0003 H0003 J0001 K0003 M0001 N0001 P0024
03732 	SPINACH, CANNED WITHOUT SAUCE 	SPINACH, CANNED WITHOUT SAUCE 	A0152 B1420 C0200 E0131 F0014 G0003 H0001 J0123 K0003 M0194 N0001 P0024
03733 	SPINACH, CANNED 	SPINACH, CANNED 	A0152 B1420 C0200 E0131 F0014 G0003 H0001 J0123 K0001 M0194 N0001 P0024
03737 	BEET, SPINACH, FRESH 	BEET, SPINACH, FRESH 	A0152 B1175 C0200 E0151 F0003 G0003 H0001 J0003 K0003 M0001 N0001 P0024
03750 	BRUSSELS SPROUTS, FRESH 	BRUSSELS SPROUTS, FRESH 	A0152 B1611 C0151 E0150 F0003 G0003 H0001 J0001 K0003 M0001 N0001 P0024
03757 	BRUSSELS LEAVES, FRESH 	BRUSSELS LEAVES, FRESH 	A0152 B1611 C0200 E0150 F0003 G0003 H0003 J0001 K0003 M0001 N0001 P0024
03760 	CHINESE CABBAGE, FRESH 	CHINESE CABBAGE, FRESH 	A0152 B1051 C0151 E0150 F0003 G0003 H0003 J0001 K0003 M0001 N0001 P0024
03830 	KALE, FRESH 	KALE, FRESH 	A0152 B1281 C0200 E0150 F0003 G0003 H0001 J0001 K0003 M0001 N0001 P0024
03850 	PARSELY, FRESH 	PARSELY, FRESH 	A0113 B1550 C0200 E0150 F0003 G0003 H0003 J0001 K0003 M0001 N0001 P0024
03880 	TOMATOES, FRESH 	TOMATOES, FRESH 	A0152 B1276 C0140 E0150 F0003 G0003 H0003 J0001 K0003 M0001 N0001 P0024
03881 	TOMATOES, CANNED 	TOMATOES, CANNED 	A0152 B1276 C0163 E0151 F0014 G0003 H0001 J0123 K0001 M0194 N0001 P0024
03883 	TOMATO PASTE 	TOMATO PASTE 	A0152 B1276 C0140 E0119 F0014 G0003 H0113 J0001 K0003 M0001 N0001 P0024
03884 	TOMATO PUREE, CANNED 	TOMATO PUREE, CANNED 	A0152 B1276 C0229 E0135 F0014 G0003 H0200 H0114 J0123 K0003 M0194 N0001 P0024
03885 	TOMATO SAUCE, CANNED 	TOMATO SAUCE, CANNED 	A0152 B1276 C0140 E0121 F0014 G0003 H0001 J0123 K0003 M0194 N0001 P0024
03886 	TOMATO PASTE AND PUREE, CANNED 	TOMATO PASTE AND PUREE, CANNED 	A0152 B1276 C0140 E0119 F0014 G0003 H0001 J0123 K0003 M0194 N0001 P0024
