FOODID	ORIGFDNM	ENGFDNAM	LANGUALCODES
CX128-1981 	BABASSU OIL, EDIBLE 	BABASSU OIL, EDIBLE 	A0129 B1707 C0190 E0139 F0001 G0003 H0001 J0001 K0003 M0001 N0001 P0024
CX129-1981 	APRICOT, CANNED 	APRICOT, CANNED 	A0143 B1529 C0167 E0151 F0014 G0003 H0001 J0123 K0011 M0194 N0001 P0024
CX13-1981 	TOMATO, CANNED 	TOMATO, CANNED 	A0152 B1276 C0167 E0151 F0014 G0003 H0001 J0123 K0001 M0194 N0001 P0024
CX130-1981 	APRICOT, DRIED 	APRICOT, DRIED 	A0143 B1529 C0167 E0151 F0003 G0003 H0138 J0116 K0003 M0001 N0001 P0024
CX131-1981 	PISTACHIO NUT, UNSHELLED 	PISTACHIO NUT, UNSHELLED 	A0260 B1416 C0227 E0150 F0001 G0003 H0001 J0003 K0003 M0001 N0001 P0024
CX132-1981 	WHOLE KERNEL CORN, QUICK FROZEN 	WHOLE KERNEL CORN, QUICK FROZEN 	A0152 B1380 C0133 E0150 F0018 G0003 H0001 J0132 K0003 M0001 N0001 P0024
CX133-1981 	CORN ON THE COB, QUICK FROZEN 	CORN ON THE COB, QUICK FROZEN 	A0152 B1380 C0242 E0150 F0018 G0003 H0001 J0132 K0003 M0001 N0001 P0024
CX134-1981 	CITRUS FRUIT NECTAR 	CITRUS FRUIT NECTAR 	A0196 B1139 C0140 E0121 F0014 G0003 H0136 J0123 K0003 M0194 N0001 P0024
CX135-1981 	MINARINE 	MINARINE 	A0294 B0001 C0190 E0119 F0018 G0003 H0306 H0297 J0001 K0003 M0001 N0001 P0024
CX137-1981A 	ICES, EDIBLE, GROUP 1 	ICES, EDIBLE, GROUP 1 	A0114 B1134 C0113 E0130 F0001 G0003 H0202 J0001 K0003 M0001 N0001 P0024
CX137-1981B 	ICES, EDIBLE, GROUP 2 	ICES, EDIBLE, GROUP 2 	A0114 B1134 C0113 E0130 F0001 G0003 H0202 H0164 J0001 K0003 M0001 N0001 P0024
CX137-1981C 	ICES, EDIBLE, GROUP 3 	ICES, EDIBLE, GROUP 3 	A0114 B1134 C0113 E0130 F0001 G0003 H0202 H0221 J0001 K0003 M0001 N0001 P0024
CX137-1981D 	ICES, EDIBLE, GROUP 4 	ICES, EDIBLE, GROUP 4 	A0114 B1134 C0113 E0130 F0001 G0003 H0202 H0221 H0164 J0001 K0003 M0001 N0001 P0024
CX137-1981E 	ICES, EDIBLE, GROUP 5 	ICES, EDIBLE, GROUP 5 	A0230 B1012 C0108 E0130 F0001 G0001 H0001 J0001 K0003 M0001 N0001 P0024
CX137-1981F 	ICES, EDIBLE, GROUP 6 	ICES, EDIBLE, GROUP 6 	A0230 B1012 C0108 E0130 F0001 G0003 H0001 J0001 K0003 M0001 N0001 P0024
CX137-1981G 	ICE MIX 	ICE MIX 	A0222 B0001 C0001 E0102 F0001 G0003 H0202 J0001 K0003 M0001 N0001 P0024 Z0074
CX137-1981H 	ICE MIX, CONCENTRATED 	ICE MIX, CONCENTRATED 	A0222 B0001 C0001 E0102 F0001 G0003 H0138 H0202 J0001 K0003 M0001 N0001 P0024 Z0074
CX137-1981J 	ICE MIX, DRIED 	ICE MIX, DRIED 	A0222 B0001 C0001 E0122 F0001 G0003 H0202 H0138 J0116 K0003 M0001 N0001 P0024 Z0090
